device,name,label,type,positions,description
PP-01,Rear1,R1,8p8c,1,Riser to floor outlet 1
PP-01,Rear2,R2,8p8c,1,Riser to floor outlet 2
PP-01,Rear3,R3,8p8c,1,Riser to floor outlet 3
PP-01,Rear4,R4,8p8c,1,Riser to floor outlet 4
PP-01,Rear5,R5,8p8c,1,Riser to floor outlet 5
PP-01,Rear6,R6,8p8c,1,Riser to floor outlet 6
PP-01,Rear7,R7,8p8c,1,Riser to floor outlet 7
PP-01,Rear8,R8,8p8c,1,Riser to floor outlet 8
PP-01,Rear9,R9,8p8c,1,Riser to floor outlet 9
PP-01,Rear10,R10,8p8c,1,Riser to floor outlet 10
PP-01,Rear11,R11,8p8c,1,Riser to floor outlet 11
PP-01,Rear12,R12,8p8c,1,Riser to floor outlet 12
PP-01,Rear13,R13,8p8c,1,Riser to floor outlet 13
PP-01,Rear14,R14,8p8c,1,Riser to floor outlet 14
PP-01,Rear15,R15,8p8c,1,Riser to floor outlet 15
PP-01,Rear16,R16,8p8c,1,Riser to floor outlet 16
PP-01,Rear17,R17,8p8c,1,Riser to floor outlet 17
PP-01,Rear18,R18,8p8c,1,Riser to floor outlet 18
PP-01,Rear19,R19,8p8c,1,Riser to floor outlet 19
PP-01,Rear20,R20,8p8c,1,Riser to floor outlet 20
PP-01,Rear21,R21,8p8c,1,Riser to floor outlet 21
PP-01,Rear22,R22,8p8c,1,Riser to floor outlet 22
PP-01,Rear23,R23,8p8c,1,Riser to floor outlet 23
PP-01,Rear24,R24,8p8c,1,Riser to floor outlet 24
PP-02,Rear1,R1,8p8c,1,Riser to floor outlet 1
PP-02,Rear2,R2,8p8c,1,Riser to floor outlet 2
PP-02,Rear3,R3,8p8c,1,Riser to floor outlet 3
PP-02,Rear4,R4,8p8c,1,Riser to floor outlet 4
PP-02,Rear5,R5,8p8c,1,Riser to floor outlet 5
PP-02,Rear6,R6,8p8c,1,Riser to floor outlet 6
PP-02,Rear7,R7,8p8c,1,Riser to floor outlet 7
PP-02,Rear8,R8,8p8c,1,Riser to floor outlet 8
PP-02,Rear9,R9,8p8c,1,Riser to floor outlet 9
PP-02,Rear10,R10,8p8c,1,Riser to floor outlet 10
PP-02,Rear11,R11,8p8c,1,Riser to floor outlet 11
PP-02,Rear12,R12,8p8c,1,Riser to floor outlet 12
PP-02,Rear13,R13,8p8c,1,Riser to floor outlet 13
PP-02,Rear14,R14,8p8c,1,Riser to floor outlet 14
PP-02,Rear15,R15,8p8c,1,Riser to floor outlet 15
PP-02,Rear16,R16,8p8c,1,Riser to floor outlet 16
PP-02,Rear17,R17,8p8c,1,Riser to floor outlet 17
PP-02,Rear18,R18,8p8c,1,Riser to floor outlet 18
PP-02,Rear19,R19,8p8c,1,Riser to floor outlet 19
PP-02,Rear20,R20,8p8c,1,Riser to floor outlet 20
PP-02,Rear21,R21,8p8c,1,Riser to floor outlet 21
PP-02,Rear22,R22,8p8c,1,Riser to floor outlet 22
PP-02,Rear23,R23,8p8c,1,Riser to floor outlet 23
PP-02,Rear24,R24,8p8c,1,Riser to floor outlet 24
PP-03,Rear1,R1,8p8c,1,Riser to floor outlet 1
PP-03,Rear2,R2,8p8c,1,Riser to floor outlet 2
PP-03,Rear3,R3,8p8c,1,Riser to floor outlet 3
PP-03,Rear4,R4,8p8c,1,Riser to floor outlet 4
PP-03,Rear5,R5,8p8c,1,Riser to floor outlet 5
PP-03,Rear6,R6,8p8c,1,Riser to floor outlet 6
PP-03,Rear7,R7,8p8c,1,Riser to floor outlet 7
PP-03,Rear8,R8,8p8c,1,Riser to floor outlet 8
PP-03,Rear9,R9,8p8c,1,Riser to floor outlet 9
PP-03,Rear10,R10,8p8c,1,Riser to floor outlet 10
PP-03,Rear11,R11,8p8c,1,Riser to floor outlet 11
PP-03,Rear12,R12,8p8c,1,Riser to floor outlet 12
PP-03,Rear13,R13,8p8c,1,Riser to floor outlet 13
PP-03,Rear14,R14,8p8c,1,Riser to floor outlet 14
PP-03,Rear15,R15,8p8c,1,Riser to floor outlet 15
PP-03,Rear16,R16,8p8c,1,Riser to floor outlet 16
PP-03,Rear17,R17,8p8c,1,Riser to floor outlet 17
PP-03,Rear18,R18,8p8c,1,Riser to floor outlet 18
PP-03,Rear19,R19,8p8c,1,Riser to floor outlet 19
PP-03,Rear20,R20,8p8c,1,Riser to floor outlet 20
PP-03,Rear21,R21,8p8c,1,Riser to floor outlet 21
PP-03,Rear22,R22,8p8c,1,Riser to floor outlet 22
PP-03,Rear23,R23,8p8c,1,Riser to floor outlet 23
PP-03,Rear24,R24,8p8c,1,Riser to floor outlet 24
PP-04,Rear1,R1,8p8c,1,Riser to floor outlet 1
PP-04,Rear2,R2,8p8c,1,Riser to floor outlet 2
PP-04,Rear3,R3,8p8c,1,Riser to floor outlet 3
PP-04,Rear4,R4,8p8c,1,Riser to floor outlet 4
PP-04,Rear5,R5,8p8c,1,Riser to floor outlet 5
PP-04,Rear6,R6,8p8c,1,Riser to floor outlet 6
PP-04,Rear7,R7,8p8c,1,Riser to floor outlet 7
PP-04,Rear8,R8,8p8c,1,Riser to floor outlet 8
PP-04,Rear9,R9,8p8c,1,Riser to floor outlet 9
PP-04,Rear10,R10,8p8c,1,Riser to floor outlet 10
PP-04,Rear11,R11,8p8c,1,Riser to floor outlet 11
PP-04,Rear12,R12,8p8c,1,Riser to floor outlet 12
PP-04,Rear13,R13,8p8c,1,Riser to floor outlet 13
PP-04,Rear14,R14,8p8c,1,Riser to floor outlet 14
PP-04,Rear15,R15,8p8c,1,Riser to floor outlet 15
PP-04,Rear16,R16,8p8c,1,Riser to floor outlet 16
PP-04,Rear17,R17,8p8c,1,Riser to floor outlet 17
PP-04,Rear18,R18,8p8c,1,Riser to floor outlet 18
PP-04,Rear19,R19,8p8c,1,Riser to floor outlet 19
PP-04,Rear20,R20,8p8c,1,Riser to floor outlet 20
PP-04,Rear21,R21,8p8c,1,Riser to floor outlet 21
PP-04,Rear22,R22,8p8c,1,Riser to floor outlet 22
PP-04,Rear23,R23,8p8c,1,Riser to floor outlet 23
PP-04,Rear24,R24,8p8c,1,Riser to floor outlet 24
