device,name,label,type,rear_port,rear_port_position,description
PP-01,Front1,F1,8p8c,Rear1,1,"Patch to switch, position 1"
PP-01,Front2,F2,8p8c,Rear2,1,"Patch to switch, position 2"
PP-01,Front3,F3,8p8c,Rear3,1,"Patch to switch, position 3"
PP-01,Front4,F4,8p8c,Rear4,1,"Patch to switch, position 4"
PP-01,Front5,F5,8p8c,Rear5,1,"Patch to switch, position 5"
PP-01,Front6,F6,8p8c,Rear6,1,"Patch to switch, position 6"
PP-01,Front7,F7,8p8c,Rear7,1,"Patch to switch, position 7"
PP-01,Front8,F8,8p8c,Rear8,1,"Patch to switch, position 8"
PP-01,Front9,F9,8p8c,Rear9,1,"Patch to switch, position 9"
PP-01,Front10,F10,8p8c,Rear10,1,"Patch to switch, position 10"
PP-01,Front11,F11,8p8c,Rear11,1,"Patch to switch, position 11"
PP-01,Front12,F12,8p8c,Rear12,1,"Patch to switch, position 12"
PP-01,Front13,F13,8p8c,Rear13,1,"Patch to switch, position 13"
PP-01,Front14,F14,8p8c,Rear14,1,"Patch to switch, position 14"
PP-01,Front15,F15,8p8c,Rear15,1,"Patch to switch, position 15"
PP-01,Front16,F16,8p8c,Rear16,1,"Patch to switch, position 16"
PP-01,Front17,F17,8p8c,Rear17,1,"Patch to switch, position 17"
PP-01,Front18,F18,8p8c,Rear18,1,"Patch to switch, position 18"
PP-01,Front19,F19,8p8c,Rear19,1,"Patch to switch, position 19"
PP-01,Front20,F20,8p8c,Rear20,1,"Patch to switch, position 20"
PP-01,Front21,F21,8p8c,Rear21,1,"Patch to switch, position 21"
PP-01,Front22,F22,8p8c,Rear22,1,"Patch to switch, position 22"
PP-01,Front23,F23,8p8c,Rear23,1,"Patch to switch, position 23"
PP-01,Front24,F24,8p8c,Rear24,1,"Patch to switch, position 24"
PP-02,Front1,F1,8p8c,Rear1,1,"Patch to switch, position 1"
PP-02,Front2,F2,8p8c,Rear2,1,"Patch to switch, position 2"
PP-02,Front3,F3,8p8c,Rear3,1,"Patch to switch, position 3"
PP-02,Front4,F4,8p8c,Rear4,1,"Patch to switch, position 4"
PP-02,Front5,F5,8p8c,Rear5,1,"Patch to switch, position 5"
PP-02,Front6,F6,8p8c,Rear6,1,"Patch to switch, position 6"
PP-02,Front7,F7,8p8c,Rear7,1,"Patch to switch, position 7"
PP-02,Front8,F8,8p8c,Rear8,1,"Patch to switch, position 8"
PP-02,Front9,F9,8p8c,Rear9,1,"Patch to switch, position 9"
PP-02,Front10,F10,8p8c,Rear10,1,"Patch to switch, position 10"
PP-02,Front11,F11,8p8c,Rear11,1,"Patch to switch, position 11"
PP-02,Front12,F12,8p8c,Rear12,1,"Patch to switch, position 12"
PP-02,Front13,F13,8p8c,Rear13,1,"Patch to switch, position 13"
PP-02,Front14,F14,8p8c,Rear14,1,"Patch to switch, position 14"
PP-02,Front15,F15,8p8c,Rear15,1,"Patch to switch, position 15"
PP-02,Front16,F16,8p8c,Rear16,1,"Patch to switch, position 16"
PP-02,Front17,F17,8p8c,Rear17,1,"Patch to switch, position 17"
PP-02,Front18,F18,8p8c,Rear18,1,"Patch to switch, position 18"
PP-02,Front19,F19,8p8c,Rear19,1,"Patch to switch, position 19"
