device,name,label,type,maximum_draw,allocated_draw,description
FW-01,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
FW-02,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
RTR-01,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
RTR-02,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
CORE-01,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
CORE-01,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
CORE-02,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
CORE-02,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-01,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-01,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-02,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-02,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-03,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-03,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-04,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-04,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-05,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-05,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-06,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-06,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-07,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-07,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-08,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-08,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-09,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-09,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-10,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-10,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-11,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-11,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-12,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-12,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-13,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-13,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-14,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-14,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-15,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-15,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-16,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-16,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-17,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-17,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-18,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-18,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-19,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-19,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
ACC-20,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
ACC-20,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-01,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-01,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-02,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-02,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-03,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-03,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-04,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-04,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-05,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-05,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-06,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-06,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-07,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-07,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
SRV-08,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
SRV-08,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
OOB-01,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
OOB-01,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
OOB-02,PSU1,PSU 1,iec-60320-c14,350,180,Power supply 1
OOB-02,PSU2,PSU 2,iec-60320-c14,350,180,Power supply 2
