device,name,label,type,feed_leg,description
PDU-01,Outlet1,C13-1,iec-60320-c13,B,Switched outlet 1
PDU-01,Outlet2,C13-2,iec-60320-c13,C,Switched outlet 2
PDU-01,Outlet3,C13-3,iec-60320-c13,A,Switched outlet 3
PDU-01,Outlet4,C13-4,iec-60320-c13,B,Switched outlet 4
PDU-01,Outlet5,C13-5,iec-60320-c13,C,Switched outlet 5
PDU-01,Outlet6,C13-6,iec-60320-c13,A,Switched outlet 6
PDU-01,Outlet7,C13-7,iec-60320-c13,B,Switched outlet 7
PDU-01,Outlet8,C13-8,iec-60320-c13,C,Switched outlet 8
PDU-01,Outlet9,C13-9,iec-60320-c13,A,Switched outlet 9
PDU-01,Outlet10,C13-10,iec-60320-c13,B,Switched outlet 10
PDU-01,Outlet11,C13-11,iec-60320-c13,C,Switched outlet 11
PDU-01,Outlet12,C13-12,iec-60320-c13,A,Switched outlet 12
PDU-01,Outlet13,C13-13,iec-60320-c13,B,Switched outlet 13
PDU-01,Outlet14,C13-14,iec-60320-c13,C,Switched outlet 14
PDU-01,Outlet15,C13-15,iec-60320-c13,A,Switched outlet 15
PDU-01,Outlet16,C13-16,iec-60320-c13,B,Switched outlet 16
PDU-01,Outlet17,C13-17,iec-60320-c13,C,Switched outlet 17
PDU-01,Outlet18,C13-18,iec-60320-c13,A,Switched outlet 18
PDU-01,Outlet19,C13-19,iec-60320-c13,B,Switched outlet 19
PDU-01,Outlet20,C13-20,iec-60320-c13,C,Switched outlet 20
PDU-01,Outlet21,C13-21,iec-60320-c13,A,Switched outlet 21
PDU-01,Outlet22,C13-22,iec-60320-c13,B,Switched outlet 22
PDU-01,Outlet23,C13-23,iec-60320-c13,C,Switched outlet 23
PDU-01,Outlet24,C13-24,iec-60320-c13,A,Switched outlet 24
PDU-01,Outlet25,C13-25,iec-60320-c13,B,Switched outlet 25
PDU-01,Outlet26,C13-26,iec-60320-c13,C,Switched outlet 26
PDU-01,Outlet27,C13-27,iec-60320-c13,A,Switched outlet 27
PDU-01,Outlet28,C13-28,iec-60320-c13,B,Switched outlet 28
PDU-01,Outlet29,C13-29,iec-60320-c13,C,Switched outlet 29
PDU-01,Outlet30,C13-30,iec-60320-c13,A,Switched outlet 30
PDU-01,Outlet31,C13-31,iec-60320-c13,B,Switched outlet 31
PDU-01,Outlet32,C13-32,iec-60320-c13,C,Switched outlet 32
PDU-01,Outlet33,C13-33,iec-60320-c13,A,Switched outlet 33
PDU-01,Outlet34,C13-34,iec-60320-c13,B,Switched outlet 34
PDU-01,Outlet35,C13-35,iec-60320-c13,C,Switched outlet 35
PDU-01,Outlet36,C13-36,iec-60320-c13,A,Switched outlet 36
PDU-01,Outlet37,C13-37,iec-60320-c13,B,Switched outlet 37
PDU-01,Outlet38,C13-38,iec-60320-c13,C,Switched outlet 38
PDU-01,Outlet39,C13-39,iec-60320-c13,A,Switched outlet 39
PDU-01,Outlet40,C13-40,iec-60320-c13,B,Switched outlet 40
PDU-01,Outlet41,C13-41,iec-60320-c13,C,Switched outlet 41
PDU-01,Outlet42,C13-42,iec-60320-c13,A,Switched outlet 42
PDU-02,Outlet1,C13-1,iec-60320-c13,B,Switched outlet 1
PDU-02,Outlet2,C13-2,iec-60320-c13,C,Switched outlet 2
PDU-02,Outlet3,C13-3,iec-60320-c13,A,Switched outlet 3
PDU-02,Outlet4,C13-4,iec-60320-c13,B,Switched outlet 4
PDU-02,Outlet5,C13-5,iec-60320-c13,C,Switched outlet 5
PDU-02,Outlet6,C13-6,iec-60320-c13,A,Switched outlet 6
PDU-02,Outlet7,C13-7,iec-60320-c13,B,Switched outlet 7
PDU-02,Outlet8,C13-8,iec-60320-c13,C,Switched outlet 8
PDU-02,Outlet9,C13-9,iec-60320-c13,A,Switched outlet 9
PDU-02,Outlet10,C13-10,iec-60320-c13,B,Switched outlet 10
PDU-02,Outlet11,C13-11,iec-60320-c13,C,Switched outlet 11
PDU-02,Outlet12,C13-12,iec-60320-c13,A,Switched outlet 12
PDU-02,Outlet13,C13-13,iec-60320-c13,B,Switched outlet 13
PDU-02,Outlet14,C13-14,iec-60320-c13,C,Switched outlet 14
PDU-02,Outlet15,C13-15,iec-60320-c13,A,Switched outlet 15
PDU-02,Outlet16,C13-16,iec-60320-c13,B,Switched outlet 16
PDU-02,Outlet17,C13-17,iec-60320-c13,C,Switched outlet 17
PDU-02,Outlet18,C13-18,iec-60320-c13,A,Switched outlet 18
PDU-02,Outlet19,C13-19,iec-60320-c13,B,Switched outlet 19
PDU-02,Outlet20,C13-20,iec-60320-c13,C,Switched outlet 20
PDU-02,Outlet21,C13-21,iec-60320-c13,A,Switched outlet 21
PDU-02,Outlet22,C13-22,iec-60320-c13,B,Switched outlet 22
PDU-02,Outlet23,C13-23,iec-60320-c13,C,Switched outlet 23
PDU-02,Outlet24,C13-24,iec-60320-c13,A,Switched outlet 24
PDU-02,Outlet25,C13-25,iec-60320-c13,B,Switched outlet 25
PDU-02,Outlet26,C13-26,iec-60320-c13,C,Switched outlet 26
PDU-02,Outlet27,C13-27,iec-60320-c13,A,Switched outlet 27
PDU-02,Outlet28,C13-28,iec-60320-c13,B,Switched outlet 28
PDU-02,Outlet29,C13-29,iec-60320-c13,C,Switched outlet 29
PDU-02,Outlet30,C13-30,iec-60320-c13,A,Switched outlet 30
PDU-02,Outlet31,C13-31,iec-60320-c13,B,Switched outlet 31
PDU-02,Outlet32,C13-32,iec-60320-c13,C,Switched outlet 32
PDU-02,Outlet33,C13-33,iec-60320-c13,A,Switched outlet 33
PDU-02,Outlet34,C13-34,iec-60320-c13,B,Switched outlet 34
PDU-02,Outlet35,C13-35,iec-60320-c13,C,Switched outlet 35
PDU-02,Outlet36,C13-36,iec-60320-c13,A,Switched outlet 36
PDU-02,Outlet37,C13-37,iec-60320-c13,B,Switched outlet 37
PDU-02,Outlet38,C13-38,iec-60320-c13,C,Switched outlet 38
PDU-02,Outlet39,C13-39,iec-60320-c13,A,Switched outlet 39
PDU-02,Outlet40,C13-40,iec-60320-c13,B,Switched outlet 40
PDU-02,Outlet41,C13-41,iec-60320-c13,C,Switched outlet 41
PDU-02,Outlet42,C13-42,iec-60320-c13,A,Switched outlet 42
