address,status,role,tenant,device,interface,dns_name,description
10.20.30.10/24,active,,Sprintpark IT,FW-01,GigabitEthernet1/0/1,fw-01.hq.sprintpark.local,Management address
10.20.30.11/24,active,,Sprintpark IT,FW-02,GigabitEthernet1/0/1,fw-02.hq.sprintpark.local,Management address
10.20.30.12/24,active,,Sprintpark IT,RTR-01,GigabitEthernet1/0/1,rtr-01.hq.sprintpark.local,Management address
10.20.30.13/24,active,,Sprintpark IT,RTR-02,GigabitEthernet1/0/1,rtr-02.hq.sprintpark.local,Management address
10.20.30.14/24,active,,Sprintpark IT,CORE-01,GigabitEthernet1/0/1,core-01.hq.sprintpark.local,Management address
10.20.30.15/24,active,,Sprintpark IT,CORE-02,GigabitEthernet1/0/1,core-02.hq.sprintpark.local,Management address
10.20.30.16/24,active,,Sprintpark IT,ACC-01,GigabitEthernet1/0/1,acc-01.hq.sprintpark.local,Management address
10.20.30.17/24,active,,Sprintpark IT,ACC-02,GigabitEthernet1/0/1,acc-02.hq.sprintpark.local,Management address
10.20.30.18/24,active,,Sprintpark IT,ACC-03,GigabitEthernet1/0/1,acc-03.hq.sprintpark.local,Management address
10.20.30.19/24,active,,Sprintpark IT,ACC-04,GigabitEthernet1/0/1,acc-04.hq.sprintpark.local,Management address
10.20.30.20/24,active,,Sprintpark IT,ACC-05,GigabitEthernet1/0/1,acc-05.hq.sprintpark.local,Management address
10.20.30.21/24,active,,Sprintpark IT,ACC-06,GigabitEthernet1/0/1,acc-06.hq.sprintpark.local,Management address
10.20.30.22/24,active,,Sprintpark IT,ACC-07,GigabitEthernet1/0/1,acc-07.hq.sprintpark.local,Management address
10.20.30.23/24,active,,Sprintpark IT,ACC-08,GigabitEthernet1/0/1,acc-08.hq.sprintpark.local,Management address
10.20.30.24/24,active,,Sprintpark IT,ACC-09,GigabitEthernet1/0/1,acc-09.hq.sprintpark.local,Management address
10.20.30.25/24,active,,Sprintpark IT,ACC-10,GigabitEthernet1/0/1,acc-10.hq.sprintpark.local,Management address
10.20.30.26/24,active,,Sprintpark IT,ACC-11,GigabitEthernet1/0/1,acc-11.hq.sprintpark.local,Management address
10.20.30.27/24,active,,Sprintpark IT,ACC-12,GigabitEthernet1/0/1,acc-12.hq.sprintpark.local,Management address
10.20.30.28/24,active,,Sprintpark IT,ACC-13,GigabitEthernet1/0/1,acc-13.hq.sprintpark.local,Management address
10.20.30.29/24,active,,Sprintpark IT,ACC-14,GigabitEthernet1/0/1,acc-14.hq.sprintpark.local,Management address
10.20.30.30/24,active,,Sprintpark IT,ACC-15,GigabitEthernet1/0/1,acc-15.hq.sprintpark.local,Management address
10.20.30.31/24,active,,Sprintpark IT,ACC-16,GigabitEthernet1/0/1,acc-16.hq.sprintpark.local,Management address
10.20.30.32/24,active,,Sprintpark IT,ACC-17,GigabitEthernet1/0/1,acc-17.hq.sprintpark.local,Management address
10.20.30.33/24,active,,Sprintpark IT,ACC-18,GigabitEthernet1/0/1,acc-18.hq.sprintpark.local,Management address
10.20.30.34/24,active,,Sprintpark IT,ACC-19,GigabitEthernet1/0/1,acc-19.hq.sprintpark.local,Management address
10.20.30.35/24,active,,Sprintpark IT,ACC-20,GigabitEthernet1/0/1,acc-20.hq.sprintpark.local,Management address
10.20.30.36/24,active,,Sprintpark IT,SRV-01,GigabitEthernet1/0/1,srv-01.hq.sprintpark.local,Management address
10.20.30.37/24,active,,Sprintpark IT,SRV-02,GigabitEthernet1/0/1,srv-02.hq.sprintpark.local,Management address
10.20.30.38/24,active,,Sprintpark IT,SRV-03,GigabitEthernet1/0/1,srv-03.hq.sprintpark.local,Management address
10.20.30.39/24,active,,Sprintpark IT,SRV-04,GigabitEthernet1/0/1,srv-04.hq.sprintpark.local,Management address
10.20.30.40/24,active,,Sprintpark IT,SRV-05,GigabitEthernet1/0/1,srv-05.hq.sprintpark.local,Management address
10.20.30.41/24,active,,Sprintpark IT,SRV-06,GigabitEthernet1/0/1,srv-06.hq.sprintpark.local,Management address
10.20.30.42/24,active,,Sprintpark IT,SRV-07,GigabitEthernet1/0/1,srv-07.hq.sprintpark.local,Management address
10.20.30.43/24,active,,Sprintpark IT,SRV-08,GigabitEthernet1/0/1,srv-08.hq.sprintpark.local,Management address
10.20.30.44/24,active,,Sprintpark IT,OOB-01,GigabitEthernet1/0/1,oob-01.hq.sprintpark.local,Management address
10.20.30.45/24,active,,Sprintpark IT,OOB-02,GigabitEthernet1/0/1,oob-02.hq.sprintpark.local,Management address
