type,status,color,length,length_unit,label,tenant,description,a_device,a_type,a_name,b_device,b_type,b_name
smf-os2,connected,0091ff,3,m,ACC-01 uplink A,Sprintpark IT,ACC-01 uplink A,ACC-01,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/1
smf-os2,connected,ffc107,3,m,ACC-01 uplink B,Sprintpark IT,ACC-01 uplink B,ACC-01,interface,TenGigabitEthernet1/1/2,CORE-02,interface,GigabitEthernet1/0/1
smf-os2,connected,0091ff,3,m,ACC-02 uplink A,Sprintpark IT,ACC-02 uplink A,ACC-02,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/2
smf-os2,connected,ffc107,3,m,ACC-02 uplink B,Sprintpark IT,ACC-02 uplink B,ACC-02,interface,TenGigabitEthernet1/1/2,CORE-02,interface,GigabitEthernet1/0/2
smf-os2,connected,0091ff,3,m,ACC-03 uplink A,Sprintpark IT,ACC-03 uplink A,ACC-03,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/3
smf-os2,connected,ffc107,3,m,ACC-03 uplink B,Sprintpark IT,ACC-03 uplink B,ACC-03,interface,TenGigabitEthernet1/1/2,CORE-02,interface,GigabitEthernet1/0/3
smf-os2,connected,0091ff,3,m,ACC-04 uplink A,Sprintpark IT,ACC-04 uplink A,ACC-04,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/4
smf-os2,connected,ffc107,3,m,ACC-04 uplink B,Sprintpark IT,ACC-04 uplink B,ACC-04,interface,TenGigabitEthernet1/1/2,CORE-02,interface,GigabitEthernet1/0/4
smf-os2,connected,0091ff,3,m,ACC-05 uplink A,Sprintpark IT,ACC-05 uplink A,ACC-05,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/5
smf-os2,connected,ffc107,3,m,ACC-05 uplink B,Sprintpark IT,ACC-05 uplink B,ACC-05,interface,TenGigabitEthernet1/1/2,CORE-02,interface,GigabitEthernet1/0/5
smf-os2,connected,0091ff,3,m,ACC-06 uplink A,Sprintpark IT,ACC-06 uplink A,ACC-06,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/6
smf-os2,connected,ffc107,3,m,ACC-06 uplink B,Sprintpark IT,ACC-06 uplink B,ACC-06,interface,TenGigabitEthernet1/1/2,CORE-02,interface,GigabitEthernet1/0/6
smf-os2,connected,0091ff,3,m,ACC-07 uplink A,Sprintpark IT,ACC-07 uplink A,ACC-07,interface,TenGigabitEthernet1/1/1,CORE-01,interface,GigabitEthernet1/0/7
