device,name,label,type
R03-CORE-01,PSU1,PSU 1,iec-60320-c14
R03-CORE-01,PSU2,PSU 2,iec-60320-c14
R03-ACC-01,PSU1,PSU 1,iec-60320-c14
R03-ACC-01,PSU2,PSU 2,iec-60320-c14
R03-ACC-02,PSU1,PSU 1,iec-60320-c14
R03-ACC-02,PSU2,PSU 2,iec-60320-c14
R03-OOB-01,PSU1,PSU 1,iec-60320-c14
R03-OOB-01,PSU2,PSU 2,iec-60320-c14
R04-STACK-01-SW1,PSU1,PSU 1,iec-60320-c14
R04-STACK-01-SW1,PSU2,PSU 2,iec-60320-c14
R04-STACK-01-SW2,PSU1,PSU 1,iec-60320-c14
R04-STACK-01-SW2,PSU2,PSU 2,iec-60320-c14
R04-STACK-01-SW3,PSU1,PSU 1,iec-60320-c14
R04-STACK-01-SW3,PSU2,PSU 2,iec-60320-c14
R04-STACK-01-SW4,PSU1,PSU 1,iec-60320-c14
R04-STACK-01-SW4,PSU2,PSU 2,iec-60320-c14
R04-CHASSIS-01,PSU1,PSU 1,iec-60320-c14
R04-CHASSIS-01,PSU2,PSU 2,iec-60320-c14
R04-SRV-01,PSU1,PSU 1,iec-60320-c14
R04-SRV-01,PSU2,PSU 2,iec-60320-c14
R04-SRV-02,PSU1,PSU 1,iec-60320-c14
R04-SRV-02,PSU2,PSU 2,iec-60320-c14
R05-SW-01,PSU1,PSU 1,iec-60320-c14
R05-SW-02,PSU1,PSU 1,iec-60320-c14
R05-SW-03,PSU1,PSU 1,iec-60320-c14
R05-SW-04,PSU1,PSU 1,iec-60320-c14
R05-SW-05,PSU1,PSU 1,iec-60320-c14
R05-SW-06,PSU1,PSU 1,iec-60320-c14
R05-SW-07,PSU1,PSU 1,iec-60320-c14
R05-FW-01,PSU1,PSU 1,iec-60320-c14
R05-RTR-01,PSU1,PSU 1,iec-60320-c14
R06-ACC-01,PSU1,PSU 1,iec-60320-c14
R06-ACC-01,PSU2,PSU 2,iec-60320-c14
R06-ACC-02,PSU1,PSU 1,iec-60320-c14
R06-ACC-02,PSU2,PSU 2,iec-60320-c14
R06-ACC-03,PSU1,PSU 1,iec-60320-c14
R06-ACC-03,PSU2,PSU 2,iec-60320-c14
R06-ACC-04,PSU1,PSU 1,iec-60320-c14
R06-ACC-04,PSU2,PSU 2,iec-60320-c14
R06-ACC-05,PSU1,PSU 1,iec-60320-c14
R06-ACC-05,PSU2,PSU 2,iec-60320-c14
R06-ACC-06,PSU1,PSU 1,iec-60320-c14
R06-ACC-06,PSU2,PSU 2,iec-60320-c14
R07-SW-01,PSU1,PSU 1,iec-60320-c14
R07-SW-01,PSU2,PSU 2,iec-60320-c14
R07-SW-02,PSU1,PSU 1,iec-60320-c14
R07-SW-02,PSU2,PSU 2,iec-60320-c14
R07-SW-03,PSU1,PSU 1,iec-60320-c14
R07-SW-03,PSU2,PSU 2,iec-60320-c14
R07-SW-04,PSU1,PSU 1,iec-60320-c14
R07-SW-04,PSU2,PSU 2,iec-60320-c14
R07-SW-05,PSU1,PSU 1,iec-60320-c14
R07-SW-05,PSU2,PSU 2,iec-60320-c14
R07-SW-06,PSU1,PSU 1,iec-60320-c14
R07-SW-06,PSU2,PSU 2,iec-60320-c14
R07-SW-07,PSU1,PSU 1,iec-60320-c14
R07-SW-07,PSU2,PSU 2,iec-60320-c14
R07-SW-08,PSU1,PSU 1,iec-60320-c14
R07-SW-08,PSU2,PSU 2,iec-60320-c14
R07-SW-09,PSU1,PSU 1,iec-60320-c14
R07-SW-09,PSU2,PSU 2,iec-60320-c14
R07-SW-10,PSU1,PSU 1,iec-60320-c14
R07-SW-10,PSU2,PSU 2,iec-60320-c14
R07-SW-11,PSU1,PSU 1,iec-60320-c14
R07-SW-11,PSU2,PSU 2,iec-60320-c14
R07-SW-12,PSU1,PSU 1,iec-60320-c14
R07-SW-12,PSU2,PSU 2,iec-60320-c14
R07-SW-13,PSU1,PSU 1,iec-60320-c14
R07-SW-13,PSU2,PSU 2,iec-60320-c14
R07-SW-14,PSU1,PSU 1,iec-60320-c14
R07-SW-14,PSU2,PSU 2,iec-60320-c14
R07-SW-15,PSU1,PSU 1,iec-60320-c14
R07-SW-15,PSU2,PSU 2,iec-60320-c14
R07-SW-16,PSU1,PSU 1,iec-60320-c14
R07-SW-16,PSU2,PSU 2,iec-60320-c14
R07-SW-17,PSU1,PSU 1,iec-60320-c14
R07-SW-17,PSU2,PSU 2,iec-60320-c14
R07-SW-18,PSU1,PSU 1,iec-60320-c14
R07-SW-18,PSU2,PSU 2,iec-60320-c14
R07-SW-19,PSU1,PSU 1,iec-60320-c14
R07-SW-19,PSU2,PSU 2,iec-60320-c14
R07-SW-20,PSU1,PSU 1,iec-60320-c14
R07-SW-20,PSU2,PSU 2,iec-60320-c14
R08-RTR-01,PSU1,PSU 1,iec-60320-c14
R08-FW-01,PSU1,PSU 1,iec-60320-c14
R08-SW-01,PSU1,PSU 1,iec-60320-c14
R08-SW-02,PSU1,PSU 1,iec-60320-c14
