device,name,type,enabled,mac_address,mark_connected,description
SW2,gigabitEthernet 1/0/1,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/2,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/3,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/4,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/5,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/6,1000base-t,true,30:DE:4B:23:71:0C,true,
SW2,gigabitEthernet 1/0/7,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/8,1000base-t,true,30:DE:4B:23:71:0C,true,
SW2,gigabitEthernet 1/0/9,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/10,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/11,1000base-t,true,30:DE:4B:23:71:0C,true,
SW2,gigabitEthernet 1/0/12,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/13,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/14,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/15,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/16,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/17,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/18,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/19,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/20,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/21,1000base-t,true,30:DE:4B:23:71:0C,false,
SW2,gigabitEthernet 1/0/22,1000base-t,true,30:DE:4B:23:71:0C,false,
